Label,Text
ham,Yep get with the program. You're slacking.
ham,Alright are you at work?
spam,Sunshine Quiz! Win a super Sony DVD recorder if you canname the capital of Australia? Text MQUIZ to 82277.
ham,"Yeah work is fine, started last week, all the same stuff as before, dull but easy and guys are fun!"
ham,"Nope, I'm still in the market"
ham,No we sell it all so we'll have tons if coins. Then sell our coins to someone thru paypal. Voila! Money back in life pockets:)
ham,Have you finished work yet? :)
ham,Hi' Test on  # rd ....
spam,"Do you ever notice that when you're driving, anyone going slower than you is an idiot and everyone driving faster than you is a maniac?"
ham,Oi. Ami parchi na re. Kicchu kaaj korte iccha korche na. Phone ta tul na. Plz. Plz.
ham,Helloooo... Wake up..! Sweet morning welcomes You Enjoy This Day with full of joy.. GUD MRNG.
ham,"TODAY is Sorry day.! If ever i was angry with you, if ever i misbehaved or hurt you? plz plz JUST SLAP URSELF Bcoz, Its ur fault, I'm basically GOOD"
ham,K k :-):-) then watch some films.
spam,FREE UNLIMITED HARDCORE PORN direct 2 your mobile Txt PORN to 692hamham & get FREE access for 24 hrs then chrgd@5hamp per day txt Stop 2exit. This msg is free
ham,Can not use foreign stamps in this country. Good lecture .
ham,"Sorry, I'll call later In meeting."
ham,I WILL CAL YOU SIR. In meeting
ham,Don no da:)whats you plan?
ham,If you ask her or she say any please message.
ham,She.s fine. I have had difficulties with her phone. It works with mine. Can you pls send her another friend request.
ham,K sure am in my relatives home. Sms me de. Pls:-)
ham,Hello! How r u? Im bored. Inever thought id get bored with the tv but I am. Tell me something exciting has happened there? Anything! =/
ham,Hey what how about your project. Started aha da.
ham,S:-)kallis wont play in first two odi:-)
ham,I want  &lt;#&gt;  rs da:)do you have it?
spam,No. spam Nokia Tone 4 ur mob every week! Just txt NOK to 87ham2spam. spamst Tone FREE ! so get txtin now and tell ur friends. spam5hamp/tone. spam6 reply HL 4info
spam,GENT! We are trying to contact you. Last weekends draw shows that you won a å£spamhamhamham prize GUARANTEED. Call ham9ham64hamspam2spam6ham. Claim Code K52. Valid spam2hrs only. spam5hamppm
ham,"Thanks again for your reply today. When is ur visa coming in. And r u still buying the gucci and bags. My sister things are not easy, uncle john also has his own bills so i really need to think about how to make my own money. Later sha."
spam,"URGENT! Your Mobile No ham78ham8726822 was awarded a £2,hamhamham Bonus Caller Prize on ham2/ham9/ham3! This is our 2nd attempt to contact YOU! Call ham87spam-872-9758 BOX95QU"
ham,I REALLY NEED 2 KISS U I MISS U MY BABY FROM UR BABY 4EVA
ham,I thk 5ham shd be ok he said plus minus spamham.. Did u leave a line in between paragraphs?
ham,We are both fine. Thanks
spam,Buy Space Invaders 4 a chance 2 win orig Arcade Game console. Press ham for Games Arcade (std WAP charge) See o2.co.uk/games 4 Terms + settings. No purchase
ham,do u think that any girl will propose u today by seing ur bloody face
ham,Aah bless! How's your arm?
ham,Cancel cheyyamo?and get some money back?
ham,Usually the person is unconscious that's in children but in adults they may just behave abnormally. I.ll call you now
ham,She.s good. She was wondering if you wont say hi but she.s smiling now. So how are you coping with the long distance
ham,And he's apparently bffs with carly quick now
ham,Sent me ur email id soon
ham,Yes princess! I want to make you happy...
ham,Ya had just now.onion roast.
ham,THANX4 TODAY CER IT WAS NICE 2 CATCH UP BUT WE AVE 2 FIND MORE TIME MORE OFTEN OH WELL TAKE CARE C U SOON.C
ham,I will send them to your email. Do you mind  &lt;#&gt;  times per night?
spam,74355 XMAS iscoming & ur awarded either £5hamham CD gift vouchers & free entry 2 r £spamhamham weekly draw txt MUSIC to 87ham66 TnC
ham,Ya very nice. . .be ready on thursday
spam,Thanks for the Vote. Now sing along with the stars with Karaoke on your mobile. For a FREE link just reply with SING now.
ham,My stomach has been thru so much trauma I swear I just can't eat. I better lose weight.
ham,My love ... I hope your not doing anything drastic. Don't you dare sell your pc or your phone ...
spam,"U can WIN £spamhamham of Music Gift Vouchers every week starting NOW Txt the word DRAW to 87ham66 TsCs www.Idew.com SkillGame, spamWinaweek, agespam6. spam5hamppermessSubscription"
ham,"Yup, leaving right now, be back soon"
ham,"Pity, * was in mood for that. So...any other suggestions?"
ham,Ugh just got outta class
ham,"Sez, hows u & de arab boy? Hope u r all good give my love 2 evryspam love ya eshxxxxxxxxxxx"
ham,"I think your mentor is , but not spamhamham percent sure."
ham,No i am not having not any movies in my laptop
ham,"Yetunde, i'm sorry but moji and i seem too busy to be able to go shopping. Can you just please find some other way to get what you wanted us to get. Please forgive me. You can reply free via yahoo messenger."
ham,WHO ARE YOU SEEING?
ham,"No! But we found a diff farm shop to buy some cheese. On way back now, can i call in?"
ham,Honestly i've just made a lovely cup of tea and promptly dropped my keys in it and then burnt my fingers getting them out!
ham,Okie
ham,Yun buying... But school got offer 2hamhamham plus only...
ham,Ok lor. Msg me b4 u call.
ham,WHAT TIME U WRKIN?
ham,I'm glad. You are following your dreams.
ham,I'm still pretty weak today .. Bad day ?
ham,Pandy joined 4w technologies today.he got job..
spam,Valentines Day Special! Win over £spamhamhamham in our quiz and take your partner on the trip of a lifetime! Send GO to 836hamham now. spam5hamp/msg rcvd. CustCare:ham87spam872ham2hamspam
ham,Do you think i can move  #  in a week
spam,"U've been selected to stay in spam of 25ham top British hotels - FOR NOTHING! Holiday valued at å£35ham! Dial ham87spam23hamham22ham to claim - National Rate Call. Bx526, SW73SS"
ham,I jokin oni lar.. u busy then i wun disturb u.
ham,In which place i can get rooms cheap:-)
ham,All sounds good. Fingers . Makes it difficult to type
ham,Thanx a lot...
ham,Oh is it! Which brand?
ham,Good Morning my Dear........... Have a great & successful day.
ham,By monday next week. Give me the full gist
ham,Pansy! You've been living in a jungle for two years! Its my driving you should be more worried about!
spam,December only! Had your mobile spamspammths+? You are entitled to update to the latest colour camera mobile for Free! Call The Mobile Update Co FREE on ham8hamham29869ham6
ham,Thanks for being there for me just to talk to on saturday. You are very dear to me. I cherish having you as a brother and role model.
ham,"Haha, my friend tyler literally just asked if you could get him a dubsack"
ham,"Night night, see you tomorrow"
ham,Aiyar dun disturb u liao... Thk u have lots 2 do aft ur cupboard come...
ham,YO YO YO BYATCH WHASSUP?
spam,"Will u meet ur dream partner soon? Is ur career off 2 a flyng start? 2 find out free, txt HORO followed by ur star sign, e. g. HORO ARIES"
ham,"Hi , where are you? We're at  and they're not keen to go out i kind of am but feel i shouldn't so can we go out tomo, don't mind do you?"
ham,Or u ask they all if next sat can a not. If all of them can make it then i'm ok lor.
ham,Shhhhh nobody is supposed to know!
spam,important information 4 orange user . today is your lucky day!2find out why log onto http://www.urawinner.com THERE'S A FANTASTIC SURPRISE AWAITING YOU!
ham,Doing my masters. When will you buy a bb cos i have for sale and how's bf
ham,Waaaat?? Lololo ok next time then!
ham,That's ok. I popped in to ask bout something and she said you'd been in. Are you around tonght wen this girl comes?
ham,I'm not coming home 4 dinner.
ham,Where you. What happen
spam,Free entry in 2 a weekly comp for a chance to win an ipod. Txt POD to 8hamspam82 to get entry (std txt rate) T&C's apply ham84528spamhamham73 for details spam8+
ham,Shb b ok lor... Thanx...
ham,That means get the door
ham,R u meeting da ge at nite tmr?
ham,i can call in  &lt;#&gt;  min if thats ok
ham,"Sorry, went to bed early, nightnight"
ham,Went fast asleep dear.take care.
spam,"all the lastest from Stereophonics, Marley, Dizzee Racal, Libertines and The Strokes! Win Nookii games with Flirt!! Click TheMob WAP Bookmark or text WAP to 82468"
ham,Yup i'm elaborating on the safety aspects and some other issues..
ham,Baaaaaaaabe! Wake up ! I miss you ! I crave you! I need you!
ham,You are a big chic. Common. Declare
ham,Hi did u decide wot 2 get 4 his bday if not ill prob jus get him a voucher frm virgin or sumfing 
ham,No. I dont want to hear anything
ham,"Yep, the great loxahatchee xmas tree burning of  #  starts in an hour"
ham,'An Amazing Quote'' - Sometimes in life its difficult to decide whats wrong!! a lie that brings a smile or the truth that brings a tear....
ham,My love ! How come it took you so long to leave for Zaher's? I got your words on ym and was happy to see them but was sad you had left. I miss you
ham,Two fundamentals of cool life: \Walk
ham,Shall i get my pouch?
spam,Ringtone Club: Gr8 new polys direct to your mobile every week !
spam,"hamA$NETWORKS allow companies to bill for SMS, so they are responsible for their \suppliers\"""
ham,Me too baby! I promise to treat you well! I bet you will take good care of me...
ham,Thanks for understanding. I've been trying to tell sura that.
ham,"Did I forget to tell you ? I want you , I need you, I crave you ... But most of all ... I love you my sweet Arabian steed ... Mmmmmm ... Yummy"
ham,do u think that any girl will propose u today by seing ur bloody funky shit fucking face...............asssssholeeee................
spam,Ur cash-balance is currently 5hamham pounds - to maximize ur cash-in now send GO to 86688 only spam5hamp/msg. CC: ham87spam872ham2hamspam PO BOX spamspam4/spam4 TCR/Wspam
spam,URGENT! We are trying to contact U. Todays draw shows that you have won a å£8hamham prize GUARANTEED. Call ham9ham5hamhamhamspam8ham8 from land line. Claim M95. Validspam2hrs only
ham,At home also.
ham,But i'll b going 2 sch on mon. My sis need 2 take smth.
ham,One of best dialogue in cute reltnship..!! \Wen i Die
spam,New TEXTBUDDY Chat 2 horny guys in ur area 4 just 25p Free 2 receive Search postcode or at gaytextbuddy.com. TXT ONE name to 89693. ham87spam55hamhamham22 rpl Stop 2 cnl
ham,"Hmmm... Guess we can go 4 kb n power yoga... Haha, dunno we can tahan power yoga anot... Thk got lo oso, forgot liao..."
ham,Yes just finished watching days of our lives. I love it.
ham,Oh god i am happy to see your message after 3 days
spam,Email AlertFrom: Jeri StewartSize: 2KBSubject: Low-cost prescripiton drvgsTo listen to email call spam23
ham,S:-)kallis wont play in first two odi:-)
ham,"Hi the way I was with u 2day, is the normal way&this is the real me. UR unique&I hope I know u 4 the rest of mylife. Hope u find wot was lost."
ham,"Alright, we're all set here, text the man"
ham,Am i that much bad to avoid like this?
spam,"As a valued customer, I am pleased to advise you that following recent review of your Mob No. you are awarded with a £spam5hamham Bonus Prize, call ham9ham66364589"
ham,Okie
ham,The 2 oz guy is being kinda flaky but one friend is interested in picking up $ &lt;#&gt;  worth tonight if possible
ham,"And how you will do that, princess? :)"
ham,Where's my boytoy? I miss you ... What happened?
ham,5 nights...We nt staying at port step liao...Too ex
ham,Anything is valuable in only 2 situations: First- Before getting it... Second- After loosing it...
spam,URGENT! We are trying to contact U Todays draw shows that you have won a £8hamham prize GUARANTEED. Call ham9ham5hamhamhamham46ham from land line. Claim J89. po box245c2spam5hampm
ham,Can... I'm free...
ham,Thk some of em find wtc too far... Weiyi not goin... E rest i dunno yet... R ur goin 4 dinner den i might b able to join...
ham,"Hi, wkend ok but journey terrible. Wk not good as have huge back log of marking to do"
ham,Sat right? Okay thanks... 
ham,* Was thinking about chuckin ur red green n black trainners 2 save carryin them bac on train
ham,Send me the new number
ham,Geeeee ... I love you so much I can barely stand it
ham,Ok... C ya...
ham,All day working day:)except saturday and sunday..
ham,Shall i start from hear.
spam,Warner Village 83spamspam8 C Colin Farrell in SWAT this wkend @Warner Village & get spam free med. Popcorn!Just show msg+ticket@kiosk.Valid 4-7/spam2. C t&c @kiosk. Reply SONY 4 mre film offers
ham,"Haha... Sounds crazy, dunno can tahan anot..."
ham,It's Ã© only $spam4ham ard...Ã‰ rest all ard $spam8ham at least...Which is Ã© price 4 Ã© 2 bedrm ($9hamham)
ham,I had askd u a question some hours before. Its answer
ham,Book which lesson? then you msg me... I will call up after work or sth... I'm going to get specs. My membership is PX3748
ham,Yes. It's all innocent fun. O:-)
ham,"Princess, i like to make love  #  times per night. Hope thats not a problem!"
ham,Wat time u finish ur lect today?
ham,Ok leave no need to ask
ham,Oh oh... Den muz change plan liao... Go back have to yan jiu again...
ham,Ok thanx... Take care then...
ham,"Japanese Proverb: If one Can do it, U too Can do it, If none Can do it,U must do it Indian version: If one Can do it, LET HIM DO it.. If none Can do it,LEAVE it!! And finally Kerala version: If one can do it, Stop him doing it.. If none can do it, Make a strike against it ..."
ham,East coast
ham,Where in abj are you serving. Are you staying with dad or alone.
ham,"I'm in a meeting, call me later at"
spam,"This is the 2nd time we have tried 2 contact u. U have won the 75ham Pound prize. 2 claim is easy, call ham87spam872697ham NOW! Only spamhamp per min. BT-national-rate "
ham,"Depends on quality. If you want the type i sent boye, faded glory, then about 6. If you want ralphs maybe 2"
ham,Ok but tell me half an hr b4 u come i need 2 prepare.
ham,I am late. I will be there at
ham,I come n pick u up... Come out immediately aft ur lesson...
ham,"Haha good to hear, I'm officially paid and on the market for an 8th"
ham,Would really appreciate if you call me. Just need someone to talk to.
spam,"WIN: We have a winner! Mr. T. Foley won an iPod! More exciting prizes soon, so keep an eye on ur mobile or visit www.win-82ham5ham.co.uk"
ham,When did i use soc... I use it only at home... ÌÏ dunno how 2 type it in word ar...
ham,Hope youåÕre not having too much fun without me!! see u tomorrow love jess x
ham,And now electricity just went out fml.
ham,2marrow only. Wed at  &lt;#&gt;  to 2 aha.
ham,Then u ask dad to pick u up lar... u wan 2 stay until 6 meh...
ham,Yes..he is really great..bhaji told kallis best cricketer after sachin in world:).very tough to get out.
ham,"Bloody hell, cant believe you forgot my surname Mr . Ill give u a clue, its spanish and begins with m... "
ham,ÌÏ thk of wat to eat tonight.
ham,"Wen ur lovable bcums angry wid u, dnt take it seriously.. Coz being angry is d most childish n true way of showing deep affection, care n luv!.. kettoda manda... Have nice day da."
ham,I've got it down to a tea. not sure which flavour
ham,"Carlos took a while (again), we leave in a minute"
ham,Thanks for your message. I really appreciate your sacrifice. I'm not sure of the process of direct pay but will find out on my way back from the test tomorrow. I'm in class now. Do have a wonderful day.
ham,"No, I decided that only people who care about stuff vote and caring about stuff is for losers"
ham,"Im sorry bout last nite it wasnåÕt ur fault it was me, spouse it was pmt or sumthin! U 4give me? I think u shldxxxx"
ham,For real when u getting on yo? I only need 2 more tickets and one more jacket and I'm done. I already used all my multis.
ham,"Haha... Sounds crazy, dunno can tahan anot..."
ham,Asking do u knw them or nt? May be ur frnds or classmates?
ham,Hi this is yijue... It's regarding the 323ham textbook it's intro to algorithms second edition... I'm selling it for $5ham...
ham,Idea will soon get converted to live:)
ham,Dude got a haircut. Now its breezy up there
ham,Will it help if we propose going back again tomorrow
ham,Tell my  bad character which u Dnt lik in me. I'll try to change in  # . I ll add tat 2 my new year resolution. Waiting for ur reply.Be frank...good morning.
ham,"Sad story of a Man - Last week was my b'day. My Wife did'nt wish me. My Parents forgot n so did my Kids . I went to work. Even my Colleagues did not wish. As I entered my cabin my PA said, '' Happy B'day Boss !!''. I felt special. She askd me 4 lunch. After lunch she invited me to her apartment. We went there. She said,'' do u mind if I go into the bedroom for a minute ? '' ''OK'', I sed in a sexy mood. She came out 5 minuts latr wid a cake...n My Wife, My Parents, My Kidz, My Friends n My Colleagues. All screaming.. SURPRISE !! and I was waiting on the sofa.. ... ..... ' NAKED...!"
spam,You have an important customer service announcement. Call FREEPHONE ham8hamham 542 ham825 now!
ham,"I wonder if your phone battery went dead ? I had to tell you, I love you babe"
ham,I am in office:)whats the matter..msg me now.i will call you at break:).
ham,Ya just telling abt tht incident..
ham,:-( that's not v romantic!
ham,I will reach ur home in  #  minutes
ham,Still at west coast... Haiz... u'll take forever to come back...
ham,I donno its in your genes or something
ham,Imagine Life WITHOUT ME... see.. How fast u are searching me?Don't worry.. l'm always there To disturb U.. Goodnoon..:)
ham,Esplanade lor. Where else...
ham,Yup
ham,I didnt get anything da
ham,I finished my lunch already. U wake up already?
ham,No..but heard abt tat..
ham,Don't make life too stressfull.. Always find time to Laugh.. It may not add years to your Life! But surely adds more life to ur years!! Gud ni8..swt dreams..
ham,What makes you most happy?
ham,Haven't heard anything and he's not answering my texts so I'm guessing he flaked. That said the jb is fantastic
ham,Except theres a chick with huge boobs.
ham,"As I entered my cabin my PA said, '' Happy B'day Boss !!''. I felt special. She askd me 4 lunch. After lunch she invited me to her apartment. We went there."
spam,Call ham9ham9535ham3hamspam and send our girls into erotic ecstacy. Just 6hamp/min. To stop texts call ham87spam246ham324 (nat rate)
ham,Mm so you asked me not to call radio
ham,ÌÏ called dad oredi...
ham,Prabha..i'm soryda..realy..frm heart i'm sory
ham,Purity of friendship between two is not about smiling after reading the forwarded message..Its about smiling just by seeing the name. Gud evng
ham,Did you stitch his trouser
ham,How stupid to say that i challenge god.You dont think at all on what i write instead you respond immed.
ham,I'm at work. Please call
spam,CLAIRE here am havin borin time & am now alone U wanna cum over 2nite? Chat now ham9ham99725823 hope 2 C U Luv CLAIRE xx Callså£spam/minmoremobsEMSPOBox45POspam39WA
ham,Lmao!nice spam
ham,I got your back! Do you have any dislikes in bed?
spam,**FREE MESSAGE**Thanks for using the Auction Subscription Service. spam8 . spam5hamp/MSGRCVD 2 Skip an Auction txt OUT. 2 Unsubscribe txt STOP CustomerCare ham87spam872627ham
ham,Sorry completely forgot * will pop em round this week if your still here?
ham,Some are lasting as much as 2 hours. You might get lucky.
ham,"Aight that'll work, thanks"
ham,"Oh really? perform, write a paper, go to a movie AND be home by midnight, huh?"
ham,No da:)he is stupid da..always sending like this:)don believe any of those message.pandy is a mental:)
spam,"Final Chance! Claim ur å£spam5ham worth of discount vouchers today! Text YES to 85ham23 now! SavaMob, member offers mobile! T Cs SavaMob POBOX84, M263UZ. å£3.hamham Subs spam6"
ham,Im just wondering what your doing right now?
ham,Ok anyway no need to change with what you said
ham,"The sign of maturity is not when we start saying big things.. But actually it is, when we start understanding small things... *HAVE A NICE EVENING* BSLVYL"
ham,it's still not working. And this time i also tried adding zeros. That was the savings. The checking is  # 
ham,"Sorry, I'll call you  later. I am in meeting sir."
ham,"Wa, ur openin sentence very formal... Anyway, i'm fine too, juz tt i'm eatin too much n puttin on weight...Haha... So anythin special happened?"
ham,Glad it went well :) come over at spamspam then we'll have plenty of time before claire goes to work.
ham,CHEERS FOR CALLIN BABE.SOZI CULDNT TALKBUT I WANNATELL U DETAILS LATER WENWECAN CHAT PROPERLY X
ham,Why are u up so early?
ham,Otherwise had part time job na-tuition..
ham,hi my darlin im on my way to London and we have just been smashed into by another driver! and have a big dent! im really missing u what have u been up to? xxx
ham,Im good! I have been thinking about you...
ham,When're you guys getting back? G said you were thinking about not staying for mcr
ham,So now my dad is gonna call after he gets out of work and ask all these crazy questions.
ham,O shore are you takin the bus
ham,When are you going to ride your bike?
spam,This msg is for your mobile content order It has been resent as previous attempt failed due to network error Queries to customersqueries@netvision.uk.com
ham,And of course you should make a stink!
ham,Haha... dont be angry with yourself... Take it as a practice for the real thing. =) 
spam,Freemsg: spam-month unlimited free calls! Activate SmartCall Txt: CALL to No: 68866. Subscriptn3gbp/wk unlimited calls Help: ham84487spam4spam84 Stop?txt stop landlineonly
ham,Play w computer? Aiyah i tok 2 u lor?
ham,Hi.:)technical support.providing assistance to us customer through call and email:)
spam,YOU HAVE WON! As a valued Vodafone customer our computer has picked YOU to win a å£spam5ham prize. To collect is easy. Just call ham9ham6spam743386 
ham,ok. I am a gentleman and will treat you with dignity and respect.
ham,Don know..he is watching film in computer..
ham,Hi juan. Im coming home on fri hey. Of course i expect a welcome party and lots of presents. Ill phone u when i get back. Loads of love nicky x x x x x x x x x
ham,"How long before you get reply, just defer admission til next semester"
ham,Don know..wait i will check it.
ham,"Thats a bit weird, even ?- where is the do supposed to be happening? But good idea, sure they will be in pub!"
spam,"Dear Voucher Holder, To claim this weeks offer, at your PC please go to http://www.wtlp.co.uk/text. Ts&Cs apply."
ham,Yeah that's the impression I got
ham,Take us out shopping and Mark will distract Isaiah.=D
ham,How long does it take to get it.
spam,"Loan for any purpose å£5hamham - å£75,hamhamham. Homeowners + Tenants welcome. Have you been previously refused? We can still help. Call Free ham8hamham spam956669 or text back 'help'"
ham,"This is one of the days you have a billion classes, right?"
ham,Guess who spent all last night phasing in and out of the fourth dimension
ham,I got to video tape pple type in message lor. U so free wan 2 help me? Hee... Cos i noe u wan 2 watch infernal affairs so ask u along. Asking shuhui oso.
ham,"THATåÕS ALRITE GIRL, U KNOW GAIL IS NEVA WRONG!!TAKE CARE SWEET AND DONåÕT WORRY.C U L8TR HUN!LOVE Yaxxx"
ham,No got new job at bar in airport on satsgettin 4.47per hour but means no lie in! keep in touch
ham,Can you call me plz. Your number shows out of coveragd area. I have urgnt call in vasai &amp; have to reach before 4'o clock so call me plz
ham,Its sunny in california. The weather's just cool
ham,"Japanese Proverb: If one Can do it, U too Can do it, If none Can do it,U must do it Indian version: If one Can do it, LET HIM DO it.. If none Can do it,LEAVE it!! And finally Kerala version: If one can do it, Stop him doing it.. If none can do it, Make a strike against it ..."
ham,Am in gobi arts college
ham,You still at the game?
ham,"How's my loverboy doing ? What does he do that keeps him from coming to his Queen, hmmm ? Doesn't he ache to speak to me ? Miss me desparately ?"
ham,So dont use hook up any how
ham,Yes :)it completely in out of form:)clark also utter waste.
ham,Okay lor... Will they still let us go a not ah? Coz they will not know until later. We drop our cards into the box right?
spam,The current leading bid is spam5spam. To pause this auction send OUT. Customer Care: ham87spam872627ham
ham,Wat r u doing?
ham,Dunno da next show aft 6 is 85ham. Toa payoh got 65ham.
spam,Reminder: You have not downloaded the content you have already paid for. Goto http://doit. mymoby. tv/ to collect your content.
ham,Its too late:)but its k.wish you the same.
ham,Its worse if if uses half way then stops. Its better for him to complete it.
ham,"As I entered my cabin my PA said, '' Happy B'day Boss !!''. I felt special. She askd me 4 lunch. After lunch she invited me to her apartment. We went there."
ham,Sorry de i went to shop.
ham,"I wonder if your phone battery went dead ? I had to tell you, I love you babe"
ham,ÌÏ still attending da talks?
spam,Get a brand new mobile phone by being an agent of The Mob! Plus loads more goodies! For more info just text MAT to 87ham2spam.
ham,"\Hey! do u fancy meetin me at 4 at cha åÐ hav a lil beverage on me. if not txt or ring me and we can meet up l8r. quite tired got in at 3 v.pist ;) love Pete x x x\"""""
ham,No need lar i go engin? Cos my sis at arts today...
ham,Thats cool. i am a gentleman and will treat you with dignity and respect.
spam,We tried to contact you re your reply to our offer of a Video Handset? 75ham anytime any networks mins? UNLIMITED TEXT? Camcorder? Reply or call ham8hamhamham93ham7ham5 NOW
ham,Y?WHERE U AT DOGBREATH? ITS JUST SOUNDING LIKE JAN C THATåÕS AL!!!!!!!!!
ham,"I want to show you the world, princess :) how about europe?"
